Time Stamp (ms),qw,qx,qy,qz
26518,0,0,0,0
26553,0,0,0,0
26586,0,0,0,0
26620,0,0,0,0
26653,0,0,0,0
26687,0,0,0,0
26722,0,0,0,0
26755,0,0,0,0
26788,0,0,0,0
26821,0,0,0,0
26854,0,0,0,0
26888,0,0,0,0
26921,0,0,0,0
26955,0,0,0,0
26989,0,0,0,0
27022,0,0,0,0
27056,0,0,0,0
27089,0,0,0,0
27124,0,0,0,0
27157,0,0,0,0
27190,0,0,0,0
27224,0,0,0,0
27258,0,0,0,0
27292,0,0,0,0
27325,0,0,0,0
27360,0,0,0,0
27392,0,0,0,0
27427,0,0,0,0
27460,0,0,0,0
27494,0,0,0,0
27527,0,0,0,0
27560,0,0,0,0
27594,0,0,0,0
27627,0,0,0,0
27661,0,0,0,0
27695,0,0,0,0
27729,0,0,0,0
27762,0,0,0,0
27795,0,0,0,0
27830,0,0,0,0
27863,0,0,0,0
27896,0,0,0,0
27929,0,0,0,0
27964,0,0,0,0
27996,0,0,0,0
28031,0,0,0,0
28065,0,0,0,0
28099,0,0,0,0
28131,0,0,0,0
28165,0,0,0,0
28199,0,0,0,0
28232,0,0,0,0
28266,0,0,0,0
28300,0,0,0,0
28333,0,0,0,0
28367,0,0,0,0
28400,0,0,0,0
28433,0,0,0,0
28466,0,0,0,0
28500,0,0,0,0
28534,0,0,0,0
28567,0,0,0,0
28600,0,0,0,0
28634,0,0,0,0
28667,0,0,0,0
28702,0,0,0,0
28736,0,0,0,0
28768,0,0,0,0
28802,0,0,0,0
28834,0,0,0,0
28869,0,0,0,0
28903,0,0,0,0
28936,0,0,0,0
28970,0,0,0,0
29003,0,0,0,0
29037,0,0,0,0
29071,0,0,0,0
29104,0,0,0,0
29137,0,0,0,0
29172,0,0,0,0
29205,0,0,0,0
29238,0,0,0,0
29272,0,0,0,0
29306,0,0,0,0
29339,0,0,0,0
29372,0,0,0,0
29407,0,0,0,0
29440,0,0,0,0
29473,0,0,0,0
29507,0,0,0,0
29540,0,0,0,0
29574,0,0,0,0
29608,0,0,0,0
29641,0,0,0,0
29674,0,0,0,0
29708,0,0,0,0
29743,0,0,0,0
29775,0,0,0,0
29809,0,0,0,0
29843,0,0,0,0
29876,0,0,0,0
29910,0,0,0,0
29945,0,0,0,0
29978,0,0,0,0
30011,0,0,0,0
30045,0,0,0,0
30079,0,0,0,0
30113,0,0,0,0
30146,0,0,0,0
30178,0,0,0,0
30212,0,0,0,0
30246,0,0,0,0
30279,0,0,0,0
30313,0,0,0,0
30347,0,0,0,0
30382,0,0,0,0
30414,0,0,0,0
30448,0,0,0,0
30482,0,0,0,0
30515,0,0,0,0
30549,0,0,0,0
30581,0,0,0,0
30616,0,0,0,0
30649,0,0,0,0
30683,0,0,0,0
30717,0,0,0,0
30751,0,0,0,0
30784,0,0,0,0
30817,0,0,0,0
30851,0,0,0,0
30885,0,0,0,0
30918,0,0,0,0
30952,0,0,0,0
30984,0,0,0,0
31019,0,0,0,0
31053,0,0,0,0
31085,0,0,0,0
31119,0,0,0,0
31153,0,0,0,0
31186,0,0,0,0
31220,0,0,0,0
31253,0,0,0,0
31287,0,0,0,0
31319,0,0,0,0
31354,0,0,0,0
31387,0,0,0,0
31421,0,0,0,0
31454,0,0,0,0
31487,0,0,0,0
31521,0,0,0,0
31555,0,0,0,0
31588,0,0,0,0
31622,0,0,0,0
31656,0,0,0,0
31688,0,0,0,0
31722,0,0,0,0
31756,0,0,0,0
31790,0,0,0,0
31824,0,0,0,0
31857,0,0,0,0
31891,0,0,0,0
31924,0,0,0,0
31958,0,0,0,0
31992,0,0,0,0
32025,0,0,0,0
32059,0,0,0,0
32092,0,0,0,0
32126,0,0,0,0
32159,0,0,0,0
32192,0,0,0,0
32227,0,0,0,0
32259,0,0,0,0
32293,0,0,0,0
32327,0,0,0,0
32361,0,0,0,0
32394,0,0,0,0
32429,0,0,0,0
32461,0,0,0,0
32496,0,0,0,0
32529,0,0,0,0
32562,0,0,0,0
32597,0,0,0,0
32629,0,0,0,0
32665,0,0,0,0
32697,0,0,0,0
32732,0,0,0,0
32764,0,0,0,0
32798,0,0,0,0
32832,0,0,0,0
32865,0,0,0,0
32900,0,0,0,0
32933,0,0,0,0
32966,0,0,0,0
32998,0,0,0,0
33033,0,0,0,0
33067,0,0,0,0
33100,0,0,0,0
33134,0,0,0,0
33168,0,0,0,0
33201,0,0,0,0
33235,0,0,0,0
33269,0,0,0,0
33302,0,0,0,0
33336,0,0,0,0
33369,0,0,0,0
33402,0,0,0,0
33437,0,0,0,0
33471,0,0,0,0
