Time Stamp (ms),qw,qx,qy,qz
22925,0,0,0,0
22959,0,0,0,0
22992,0,0,0,0
23026,0,0,0,0
23059,0,0,0,0
23093,0,0,0,0
23126,0,0,0,0
23160,0,0,0,0
23193,0,0,0,0
23227,0,0,0,0
23260,0,0,0,0
23293,0,0,0,0
23328,0,0,0,0
23361,0,0,0,0
23393,0,0,0,0
23427,0,0,0,0
23461,0,0,0,0
23494,0,0,0,0
23528,0,0,0,0
23561,0,0,0,0
23595,0,0,0,0
23630,0,0,0,0
23663,0,0,0,0
23696,0,0,0,0
23729,0,0,0,0
23763,0,0,0,0
23797,0,0,0,0
23831,0,0,0,0
23864,0,0,0,0
23898,0,0,0,0
23931,0,0,0,0
23965,0,0,0,0
23998,0,0,0,0
24032,0,0,0,0
24066,0,0,0,0
24099,0,0,0,0
24133,0,0,0,0
24167,0,0,0,0
24200,0,0,0,0
24234,0,0,0,0
24266,0,0,0,0
24300,0,0,0,0
24334,0,0,0,0
24368,0,0,0,0
24401,0,0,0,0
24435,0,0,0,0
24469,0,0,0,0
24503,0,0,0,0
24536,0,0,0,0
24570,0,0,0,0
24603,0,0,0,0
24636,0,0,0,0
24670,0,0,0,0
24703,0,0,0,0
24738,0,0,0,0
24771,0,0,0,0
24805,0,0,0,0
24839,0,0,0,0
24872,0,0,0,0
24906,0,0,0,0
24939,0,0,0,0
24972,0,0,0,0
25007,0,0,0,0
25040,0,0,0,0
25073,0,0,0,0
25107,0,0,0,0
25141,0,0,0,0
25175,0,0,0,0
25208,0,0,0,0
25241,0,0,0,0
25277,0,0,0,0
25309,0,0,0,0
25342,0,0,0,0
25376,0,0,0,0
25410,0,0,0,0
25444,0,0,0,0
25477,0,0,0,0
25510,0,0,0,0
25544,0,0,0,0
25578,0,0,0,0
25611,0,0,0,0
25645,0,0,0,0
25678,0,0,0,0
25713,0,0,0,0
25746,0,0,0,0
25779,0,0,0,0
25812,0,0,0,0
25846,0,0,0,0
25879,0,0,0,0
25913,0,0,0,0
25947,0,0,0,0
25980,0,0,0,0
26012,0,0,0,0
26047,0,0,0,0
26080,0,0,0,0
26113,0,0,0,0
26147,0,0,0,0
26182,0,0,0,0
26215,0,0,0,0
26248,0,0,0,0
26282,0,0,0,0
26315,0,0,0,0
26348,0,0,0,0
26381,0,0,0,0
26416,0,0,0,0
26451,0,0,0,0
26483,0,0,0,0
26516,0,0,0,0
26550,0,0,0,0
26584,0,0,0,0
26617,0,0,0,0
26650,0,0,0,0
26684,0,0,0,0
26718,0,0,0,0
26751,0,0,0,0
26785,0,0,0,0
26819,0,0,0,0
26852,0,0,0,0
26886,0,0,0,0
26919,0,0,0,0
26953,0,0,0,0
26986,0,0,0,0
27020,0,0,0,0
27053,0,0,0,0
27087,0,0,0,0
27121,0,0,0,0
27154,0,0,0,0
27189,0,0,0,0
27222,0,0,0,0
27257,0,0,0,0
27289,0,0,0,0
27322,0,0,0,0
27356,0,0,0,0
27389,0,0,0,0
27423,0,0,0,0
27457,0,0,0,0
